,code,date,Open,High,Low,Close,Diff,Volume,diff
107,000040,2017-12-06,374,378,367,372,0,514068,0.992
108,000040,2017-12-07,375,375,358,360,12,631665,1.0
109,000040,2017-12-08,360,368,356,357,3,278729,0.9834710743801653
110,000040,2017-12-11,363,363,349,355,2,294543,0.9916201117318436
111,000040,2017-12-12,358,360,336,349,6,434262,1.0
112,000040,2017-12-13,349,354,341,349,0,527229,0.9971428571428571
113,000040,2017-12-14,350,356,345,352,3,290813,1.0
114,000040,2017-12-15,352,352,342,350,2,371165,0.9859154929577465
115,000040,2017-12-18,355,355,343,345,5,432736,0.9913793103448276
116,000040,2017-12-19,348,348,329,332,13,828291,1.0152905198776758
117,000040,2017-12-20,327,332,324,325,7,1012336,inf
131,000040,2018-01-12,489,635,489,635,146,20035740,0.8931082981715893
132,000040,2018-01-15,711,750,638,647,12,22702819,0.9923312883435583
133,000040,2018-01-16,652,660,590,605,42,4825977,0.9789644012944984
134,000040,2018-01-17,618,622,568,575,30,3486697,1.0
135,000040,2018-01-18,575,601,566,575,0,4039995,1.0
136,000040,2018-01-19,575,595,573,580,5,1660252,0.9965635738831615
137,000040,2018-01-22,582,585,565,570,10,1078181,1.0017574692442883
138,000040,2018-01-23,569,582,565,571,1,1270417,1.0017543859649123
139,000040,2018-01-24,570,578,566,572,1,1010393,0.9879101899827288
140,000040,2018-01-25,579,597,574,594,22,1646020,1.0
141,000040,2018-01-26,594,598,582,590,4,1198177,0.9899328859060402
142,000040,2018-01-29,596,670,590,630,40,5447890,1.0128617363344052
143,000040,2018-01-30,622,631,610,623,7,1346305,1.0016077170418007
144,000040,2018-01-31,622,632,607,632,9,1487412,0.9968454258675079
145,000040,2018-02-01,634,637,617,622,10,969060,1.001610305958132
146,000040,2018-02-02,621,627,601,609,13,943943,1.041025641025641
147,000040,2018-02-05,585,604,585,589,20,618818,1.040636042402827
148,000040,2018-02-06,566,598,550,590,1,889778,0.9672131147540983
149,000040,2018-02-07,610,610,576,576,14,565529,1.03971119133574
150,000040,2018-02-08,554,590,553,589,13,545243,1.0102915951972555
151,000040,2018-02-09,583,584,564,570,19,414957,0.9965034965034965
152,000040,2018-02-12,572,575,555,568,2,346184,0.9895470383275261
153,000040,2018-02-13,574,583,553,561,7,353655,1.0017857142857143
154,000040,2018-02-14,560,560,510,550,11,559672,1.0
155,000040,2018-02-19,550,566,550,557,7,333401,0.9946428571428572
156,000040,2018-02-20,560,564,555,557,0,192636,1.0
157,000040,2018-02-21,557,564,548,562,5,168560,0.9929328621908127
158,000040,2018-02-22,566,584,561,581,19,477499,0.9948630136986302
159,000040,2018-02-23,584,587,567,569,12,254130,0.9895652173913043
160,000040,2018-02-26,575,580,547,550,19,418879,0.9963768115942029
161,000040,2018-02-27,552,562,547,560,10,190956,1.0
162,000040,2018-02-28,560,569,554,561,1,226314,0.9894179894179894
163,000040,2018-03-02,567,567,541,557,4,284983,1.0
164,000040,2018-03-05,557,565,548,561,4,194332,0.9946808510638298
165,000040,2018-03-06,564,564,551,551,10,244430,1.014732965009208
166,000040,2018-03-07,543,554,540,544,7,382167,1.003690036900369
